eu rejects german call to boycott british lamb .|||B-ORG O B-MISC O O O B-MISC O O
the andean nation 's population of 11.4 million is 47 percent indigenous .|||O B-MISC O O O O O O O O O O O
brazil to use hovercrafts for amazon travel .|||B-LOC O O O O B-LOC O O
brasilia 1996-08-22|||B-LOC O
hovercrafts will soon be plying the waters of the amazon in a bid to reduce the difficulties of transportation on the vast brazilian waterway , the government said on thursday .|||O O O O O O O O O B-LOC O O O O O O O O O O O O B-MISC O O O O O O O O
two russian-built hovercrafts , capable of carrying up to 50 tons each , will begin ferrying passengers and cargo up and down the huge river from its mouth at belem by the end of the year , brazil 's amazon affairs department said in a statement .|||O B-MISC O O O O O O O O O O O O O O O O O O O O O O O O O O O B-LOC O O O O O O O B-LOC O B-ORG I-ORG I-ORG O O O O O
the use of riverways in the region has been made a priority under a government plan for the amazon and the high-speed hovercraft will help reduce the time involved in travelling often massive distances , it said .|||O O O O O O O O O O O O O O O O O O B-LOC O O O O O O O O O O O O O O O O O O O
hk 's tsang to visit indonesia , new zealand .|||B-LOC O B-PER O O B-LOC O B-LOC I-LOC O
hong kong 1996-08-23|||B-LOC I-LOC O
hong kong financial secretary donald tsang will visit indonesia and new zealand from august 25 to 31 , the government said on friday .|||B-LOC I-LOC O O B-PER I-PER O O B-LOC O B-LOC I-LOC O O O O O O O O O O O O
in jakarta , tsang will meet president suharto , minister of finance mar'ie muhammad , minister of foreign affairs ali alatas and minister of trade and industry tungky ariwibowo .|||O B-LOC O B-PER O O O B-PER O O O B-ORG B-PER I-PER O O O B-ORG I-ORG B-PER I-PER O O O B-ORG I-ORG I-ORG B-PER I-PER O
on his new zealand leg from august 29 , tsang will meet prime minister jim bolger , deputy prime minister don mckinnon and minister of finance bill birch .|||O O B-LOC I-LOC O O O O O B-PER O O O O B-PER I-PER O O O O B-PER I-PER O O O B-ORG B-PER I-PER O
jordan expels iraqi diplomat after bread riots .|||B-LOC O B-MISC O O O O O
rana sabbagh|||B-PER I-PER
amman 1996-08-23|||B-LOC O
jordan , which has blamed iraq for bread riots last week , has asked an iraqi diplomat to leave , official and diplomatic sources said on friday .|||B-LOC O O O O B-LOC O O O O O O O O O B-MISC O O O O O O O O O O O O
the main friday prayers in southern jordan that were the starting point for the riots a week ago passed peacefully under tight security imposed by the army with only brief demonstrations reported .|||O O O O O O B-LOC O O O O O O O O O O O O O O O O O O O O O O O O O O
adel ibrahim , the iraqi embassy 's press attache , was asked to leave " because he was carrying out duties incompatible with diplomatic norms " , one source told reuters , implying he was accused of spying .|||B-PER I-PER O O B-MISC O O O O O O O O O O O O O O O O O O O O O O O O O B-ORG O O O O O O O O
ibrahim told reuters by telephone from his embassy office in amman that he " had not been notified " of any explusion order .|||B-PER O B-ORG O O O O O O O B-LOC O O O O O O O O O O O O O
the government declined official comment .|||O O O O O O
ibrahim 's assistant , hussein khalaf , was expelled earlier this year for similar reasons amid rising tension in bilateral ties after king hussein began calling for change in baghdad following top iraqi defections in august 1995 .|||B-PER O O O B-PER I-PER O O O O O O O O O O O O O O O O O B-PER O O O O O B-LOC O O B-MISC O O O O O
iraq retaliated then by expelling a junior administrator working in the jordanian embassy in baghdad but has continued its policy of trying to avoid public conflicts with jordan -- its only secure route to the rest of the world .|||B-LOC O O O O O O O O O O B-MISC O O B-LOC O O O O O O O O O O O O B-LOC O O O O O O O O O O O O
jordan has accused iraq and a local pro-baghdad party for the country 's worst unrest in seven years which erupted after it almost doubled the prices of bread last week under radical economic reforms agreed with the international monetary fund .|||B-LOC O O B-LOC O O O B-MISC O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-ORG I-ORG I-ORG O
in karak , where two days of riots flared last friday , a few hundred young men lingered outside omari mosque on leaving , shouting slogans for about 15 minutes .|||O B-LOC O O O O O O O O O O O O O O O O O B-LOC O O O O O O O O O O O
" disperse , abstain from forming groups and help maintain order , " army officers , who has enforced a loose curfew since the riots , told the crowd through loudspeakers .|||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
the men shouted " allahu akbar " ( god is greatest ) as a former islamist deputy , ahmed kafawin , told soldiers the crowd would not cause trouble .|||O O O O B-PER O O O B-PER O O O O O O B-MISC O O B-PER I-PER O O O O O O O O O O
he had earlier mounted the mosque 's pulpit to demand release of detainees , an end to raids on houses and the cancelling of the bread price rises .|||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
armoured cars had patrolled streets in karak , traditional bastion of communist ideology and baath socialism that swept the region in the 1950s , and guarded entrances to the hill-top city famed for its crusader castle before the prayers .|||O O O O O O B-LOC O O O O O O O B-MISC O O O O O O O O O O O O O O O O O O O O O O O O O
there was also heavy security in the crowded centre of amman , where smaller clashes had erupted last saturday , but friday prayers at the main mosque ended quietly as police in full riot gear looked on .|||O O O O O O O O O O B-LOC O O O O O O O O O O O O O O O O O O O O O O O O O O O
the jordanian arab socialist baath party , which has one deputy in the 80-seat lower house of parliament , has denied involvement in unrest which it blamed on government policies and rising economic hardship .|||O B-ORG I-ORG I-ORG I-ORG I-ORG O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
government attempts to link the rioting to foreign influence has been treated with derision by those in the streets who blame the protests on severe economic hardships .|||O O O O O O O O O O O O O O O O O O O O O O O O O O O O
turkey says killed 17 kurd rebels in clashes .|||B-LOC O O O B-MISC O O O O
ankara 1996-08-23|||B-LOC O
turkish troops have killed 17 kurdish rebels in recent clashes in the southeast of the country , the state-run anatolian news agency said on friday .|||B-MISC O O O O B-MISC O O O O O O O O O O O O O B-ORG O O O O O O
two security officials and two state-paid village guards were killed in the fighting with kurdistan workers party ( pkk ) guerrillas , the agency quoted the emergency rule governor 's office as saying .|||O O O O O O O O O O O O O O B-ORG I-ORG I-ORG O B-ORG O O O O O O O O O O O O O O O
eight of the rebels were killed in van province , five in sirnak and four in hakkari .|||O O O O O O O B-LOC O O O O B-LOC O O O B-LOC O
the agency did not say when the clashes took place .|||O O O O O O O O O O O
more than 20,000 people have died in the pkk 's 12-year-old fight for independence or autonomy in southeastern turkey .|||O O O O O O O O B-ORG O O O O O O O O O B-LOC O
three people , including two village guards , died when a mine planted by pkk rebels exploded on a road in the southeast , anatolian reported earlier .|||O O O O O O O O O O O O O O B-ORG O O O O O O O O O B-ORG O O O
it said a taxi carrying the guards , members of a mostly kurdish militia which fights the pkk , hit the mine in the province of diyarbakir .|||O O O O O O O O O O O O B-MISC O O O O B-ORG O O O O O O O O B-LOC O
u.s. says iraqi kurds agree ceasefire .|||B-LOC O B-MISC I-MISC O O O
washington 1996-08-23|||B-LOC O
leaders of iraq 's two main kurdish factions agreed on friday to end six days of fighting and to attend u.s.-mediated peace talks next month , the state department said .|||O O B-LOC O O O B-MISC O O O O O O O O O O O O O B-MISC O O O O O O B-ORG I-ORG O O
spokesman glyn davies said in a statement that the agreement followed direct u.s. contacts with massoud barzani , leader of the kurdistan democratic party ( kdp ) , and jalal talabani , leader of the patriotic union of kurdistan ( puk ) .|||O B-PER I-PER O O O O O O O O O B-LOC O O B-PER I-PER O O O O B-ORG I-ORG I-ORG O B-ORG O O O B-PER I-PER O O O O B-ORG I-ORG I-ORG I-ORG O B-ORG O O
davies said the two leaders " have agreed to cease the fighting ( and ) return their forces to the positions held before the current fighting began " on august 17 .|||B-PER O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
he did not give a specific time for the ceasefire but said the united states looked forward to " immediate implementation " .|||O O O O O O O O O O O O O B-LOC I-LOC O O O O O O O O
the two party leaders had also agreed to meet u.s. assistant secretary for near eastern affairs robert pelletreau in september " to solidify the cease-fire and to pursue reconciliation " , davies said .|||O O O O O O O O O B-LOC O O O B-MISC I-MISC O B-PER I-PER O O O O O O O O O O O O O B-PER O O
his statement gave no venue or precise date for the meeting .|||O O O O O O O O O O O O
the united states has already called on the kurdish factions to hold peace talks in london .|||O B-LOC I-LOC O O O O O B-MISC O O O O O O B-LOC O
the kdp said thursday night it had repelled an attack by thousands of puk fighters , killing , wounding or capturing about 400 opposing guerrillas .|||O B-ORG O O O O O O O O O O O B-ORG O O O O O O O O O O O O
the fighting has threatened a u.s.-led peace plan to unite the mountainous kurdish region in northern iraq against president saddam hussein .|||O O O O O B-MISC O O O O O O B-MISC O O O B-LOC O O B-PER I-PER O
one teen left dead by attack on u.s. slumber party .|||O O O O O O O B-LOC O O O
chesapeake , va .|||B-LOC O B-LOC O
1996-08-23|||O
a knife-wielding neighbour apparently intent on sexual assault invaded a teenage slumber party on friday , killing one girl and wounding three others , police said .|||O O O O O O O O O O O O O O O O O O O O O O O O O O O
at about 4 a.m. edt ( 0800 gmt ) , a group of teenaged girls were having the overnight party in the camelot subdivision of this eastern virginia city , when a man entered the house , wielding a knife , threatening to sexually assault the girls .|||O O O O O O O B-MISC O O O O O O O O O O O O O O B-LOC O O O O B-LOC O O O O O O O O O O O O O O O O O O O O
detective richard black of the chesapeake police department , said a neighbour , curtis lee white ii , 19 , was arrested in the attack , but had not been charged by late morning on friday .|||O B-PER I-PER O O B-ORG I-ORG I-ORG O O O O O B-PER I-PER I-PER I-PER O O O O O O O O O O O O O O O O O O O O
there were apparently no adults at the party as the father of the family who lived in the house was out of town and the mother died more than a year ago , black said .|||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-PER O O
the detective said details were sketchy , but two of the teenagers were reportedly downstairs watching television when white allegedly entered the house and told the girls to take off their clothes .|||O O O O O O O O O O O O O O O O O O B-PER O O O O O O O O O O O O O O
he said a male teenager sleeping upstairs reportedly heard the commotion and came downstairs and confronted white , who allegedly stabbed him more than once .|||O O O O O O O O O O O O O O O O B-PER O O O O O O O O O
the other teenagers also confronted the assailant and three girls , all under 18 , were stabbed , one fatally .|||O O O O O O O O O O O O O O O O O O O O O
" at least two of them were sexually molested , " black said .|||O O O O O O O O O O O B-PER O O
he said all of the wounded teenagers were taken to a hospital but none of the injuries were considered life-threatening .|||O O O O O O O O O O O O O O O O O O O O O
police said the girl who died was identified as michelle harper .|||O O O O O O O O O B-PER I-PER O
her age was not given .|||O O O O O O
glickman says usda monitoring aflatoxin in texas .|||B-PER O B-ORG O O O B-LOC O
washington 1996-08-23|||B-LOC O
agriculture secretary dan glickman said the department was monitoring reports of aflatoxin found in corn in parts of texas .|||O O B-PER I-PER O O O O O O O O O O O O O O B-LOC O
" we 're always concerned about aflatoxin but we 're on top of it , " glickman told reporters after addressing a usda-sponsored farmers ' market .|||O O O O O O O O O O O O O O O O B-PER O O O O O B-MISC O O O O
" that 's a perennial problem .|||O O O O O O O
it may be a little more problematic because of cold , wet conditions but we 're on top of it , " the secretary said .|||O O O O O O O O O O O O O O O O O O O O O O O O O O
asked about reports egypt has set new levels for a vomitoxin in its purchase of u.s. wheat , the secretary said " i do n't know anything about it " but added that usda officials were " looking at it . "|||O O O B-LOC O O O O O O O O O O O B-LOC O O O O O O O O O O O O O O O O O B-ORG O O O O O O O O
mass .|||B-LOC O
governor has trouble winning home support .|||O O O O O O O
boston 1996-08-23|||B-LOC O
the 12-year-old daughter of republican gov .|||O O O O B-MISC O O
william weld is working to stop his bid to win a u.s. senate seat because she does n't want to leave massachusetts .|||B-PER I-PER O O O O O O O O O B-LOC B-ORG O O O O O O O O B-LOC O
weld conceded his 12-year-old daughter , franny , is " a foot soldier " for democratic incumbent sen .|||B-PER O O O O O B-PER O O O O O O O O B-MISC O O O
john kerry , even though she is n't old enough to vote .|||B-PER I-PER O O O O O O O O O O O
weld , speaking on wbur-fm radio on thursday , said he was facing a revolt from his daughter in part because she does not want to leave cambridge , massachusetts , and move to washington .|||B-PER O O O B-ORG O O O O O O O O O O O O O O O O O O O O O O B-LOC O B-LOC O O O O B-LOC O
he also said franny weld 's best friend , tracy roosevelt , might have something to do with her politics .|||O O O B-PER I-PER O O O O B-PER I-PER O O O O O O O O O O
tracy is the great-granddaughter of democratic former president franklin roosevelt , and support for democrats runs in the family .|||B-PER O O O O B-MISC O O B-LOC I-LOC O O O O B-MISC O O O O O
the roosevelts are good friends of weld and his wife , susan roosevelt weld , a descendant of former president theodore roosevelt , who won the presidency as a republican .|||O B-PER O O O O B-PER O O O O B-PER I-PER I-PER O O O O O O B-PER I-PER O O O O O O O B-MISC O
lufthansa cargo q2 load factor up 1.7 pct .|||B-ORG O O O O O O O O
frankfurt 1996-08-23|||B-LOC O
the following table shows lufthansa cargo ag second quarter 1996 results , based on figures published by deutsche lufthansa ag in-house newspaper|||O O O O B-ORG I-ORG I-ORG O O O O O O O O O O B-ORG I-ORG I-ORG O O
lufthanseat .|||B-ORG O
available freight-tonne kilometres ( million ) 2,389 up 4 pct|||O O O O O O O O O O
revenue freight-tonne kilometres ( million ) 1,600 up 7 pct|||O O O O O O O O O O
freight load factor 67.0 up 1.7 pct pts|||O O O O O O O O
revenue from transport ( dm million ) 820 up 2 pct|||O O O O B-MISC O O O O O O
revenue from other services ( dm million ) 14 down 26 pct|||O O O O O B-MISC O O O O O O
staff costs ( dm million ) 116 up 8 pct|||O O O B-MISC O O O O O O
fuel costs ( dm million ) 69 up 20 pct|||O O O B-MISC O O O O O O
flight-related fees ( dm million ) 125 up 17 pct|||O O O B-MISC O O O O O O
- air cargo newsroom tel+44 171 542 7706 fax+44 171 542 5017|||O B-ORG I-ORG I-ORG O O O O O O O O
wsc-india rice weather , aug 23 .|||B-ORG O O O O O O
summary- showers 0.25-1.30 inch ( 6-33 mm ) and locally heavier through much of india , 75 percent coverage .|||O O O O O O O O O O O O O O B-LOC O O O O O
isolated showers 0.20-0.70 inch ( 5-18 mm ) in the north .|||O O O O O O O O O O O O
highs 82-96f ( 28-36c ) .|||O O O O O O
crop impact- conditions remain favorable for the development of rice in the region .|||O O O O O O O O O O O O O O
forecast-|||O
today ...|||O O
showers and rain 0.25-1.00 inch ( 6-25 mm ) and locally heavier through most of central and south central india , up to 0.75 inch ( 19 mm ) in 75 percent of north central india , and only isolated up to 0.50 inch ( 13 mm ) elsewhere over india .|||O O O O O O O O O O O O O O O O O O O B-LOC O O O O O O O O O O O O O O O B-LOC O O O O O O O O O O O O O O B-LOC O
highs 82-96f ( 28-36c ) .|||O O O O O O
tonight ...|||O O
variable clouds in southern india with showers .|||O O O O B-LOC O O O
partly cloudy in northern india with a few light showers .|||O O O O B-LOC O O O O O O
lows 68-76f ( 20-24c ) .|||O O O O O O
tomorrow ...|||O O
little change from today 's weather expected .|||B-PER O O O O O O O
outlook ...|||O O
numerous to scattered showers and thunderstorms in southern and central india , and isolated showers to the north sunday through tuesday .|||O O O O O O O O O O B-LOC O O O O O O O O O O O
temperatures near normal .|||O O O O
source : weather services corporation|||O O B-ORG I-ORG I-ORG
washington to curb tamil support in u.s. - sri lanka .|||B-LOC O O B-MISC O O B-LOC O B-LOC I-LOC O
colombo 1996-08-23|||B-LOC O
sri lanka said on friday the united states had promised to stamp out any illegal activities on u.s. soil directed against the island 's government .|||B-LOC I-LOC O O O O B-LOC I-LOC O O O O O O O O O B-LOC O O O O O O O O
the sri lankan foreign ministry said in a statement : " the united states government sympathised with the current predicament sri lanka was facing . "|||O B-MISC I-MISC O O O O O O O O O B-LOC I-LOC O O O O O O B-LOC I-LOC O O O O
the statement said the u.s. government " would do all within its prevailing legal framework to prevent the use of american soil to perpetrate violence against the democratic government of sri lanka " .|||O O O O B-LOC O O O O O O O O O O O O O O O B-MISC O O O O O O O O O B-LOC I-LOC O O
it said the u.s. state department 's coordinator for counter terrorism , philip wilcox , had expressed washington 's support for the government when he visited colombo this week .|||O O O B-ORG I-ORG I-ORG O O O O O O B-PER I-PER O O O B-LOC O O O O O O O O B-LOC O O O
colombo has said it believes tamil rebels , fighting a 13-year war for independence against the government , finance their military activity through funds extorted from expatriate sri lankans in western countries such as the united states .|||B-LOC O O O O B-MISC O O O O O O O O O O O O O O O O O O O O O B-MISC I-MISC O O O O O O B-LOC I-LOC O
u.s. embassy officials in colombo were not immediately available to comment on the report .|||B-LOC O O O B-LOC O O O O O O O O O O
colombo estimates more than 50,000 people have been killed in the war between government forces and the liberation tigers of tamil eelam rebels in the island 's north and east .|||B-LOC O O O O O O O O O O O O O O O O B-ORG I-ORG I-ORG I-ORG I-ORG O O O O O O O O O
nepal 's king leaves on week-long visit to china .|||B-LOC O O O O O O O B-LOC O
kathmandu 1996-08-23|||B-LOC O
king birendra left nepal on friday for a week-long visit to china , his eighth since ascending the throne in 1972 , officials said .|||O B-PER O B-LOC O O O O O O O B-LOC O O O O O O O O O O O O O
the constitutional monarch , who last visited china in 1993 , was scheduled to meet chinese president jiang zemin and premier li peng during his visit , they said .|||O O O O O O O B-LOC O O O O O O O B-MISC O B-PER I-PER O O B-PER I-PER O O O O O O O
foreign ministry officials gave no details of the issues the king , who was accompanied by foreign minister prakash chandra lohani , would discuss with chinese leaders .|||O O O O O O O O O O O O O O O O O O B-PER I-PER I-PER O O O O B-MISC O O
the himalayan kingdom , sandwiched between china and india , has traditionally sought to maintain close cooperation with its giant neighbours , and an equal distance from the two .|||O B-MISC O O O O B-LOC O B-LOC O O O O O O O O O O O O O O O O O O O O O
the 50-year old monarch was accompanied by queen aishwarya on a flight to the tibetan capital of lhasa .|||O O O O O O O O B-PER O O O O O B-MISC O O B-LOC O
the king will visit chongqing before arriving in the chinese capital , beijing , early next week , officials said .|||O O O O B-LOC O O O O B-MISC O O B-LOC O O O O O O O O
nepal man held for keeping child servant in chains .|||B-LOC O O O O O O O O O
kathmandu 1996-08-23|||B-LOC O
nepali police said on friday they arrested a man who allegedly kept a child servant bound in chains so that he would not run away when his employer was out to work .|||B-MISC O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
madhusudan munakarmi was arrested on thursday after his neighbours informed police about the plight of 12-year old dhiraj k.c. , who told police his employer used to tie him up with iron chains and locks concealed under his clothes .|||B-PER I-PER O O O O O O O O O O O O O O O B-PER I-PER O O O O O O O O O O O O O O O O O O O O O
the neighbours in kathmandu called the police when they saw dheeraj , employed by the man for the past nine months , limping because of the chains .|||O O O B-LOC O O O O O O B-PER O O O O O O O O O O O O O O O O O
" i feared he would flee from work or steal my belongings , " the kathmandu post newspaper quoted munakarmi as saying after his arrest .|||O O O O O O O O O O O O O O O B-ORG I-ORG O O B-PER O O O O O O
if convicted , he faces a maximum of three years in jail under nepal 's child protection laws .|||O O O O O O O O O O O O O B-LOC O O O O O
options - euro debt vols seen regrouping after fall .|||O O B-MISC O O O O O O O
london 1996-08-23|||B-LOC O
implied volatility of european bond and interest rate options should stabilise around current levels until early next week after falling before and after this week 's german-led cut in interest rates , traders said .|||O O O B-MISC O O O O O O O O O O O O O O O O O O O O O O B-MISC O O O O O O O O
" volatility has come off a lot .|||O O O O O O O O
we 're looking for it to stabilise now , " said one euromark options trader at a u.s. bank .|||O O O O O O O O O O O O B-MISC O O O O B-LOC O O
a trader at a japanese bank said euromark volatility now stood at 14.00 for september contract , 16.75 for december , 19.50 for march and 21.25 for june .|||O O O O B-MISC O O B-MISC O O O O O O O O O O O O O O O O O O O O O
this compared with midweek levels , before the welter of interest rate cuts , of 18.50 for september , 20.00 for december , 22.00 for march and 23.5 for june , he said .|||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
at 1347 gmt , december euromark futures were trading at 96.78 , two basis points down on the day .|||O O B-MISC O O B-MISC O O O O O O O O O O O O O O
he said the sell-off in june vols might have been overdone , which could offer value at current levels .|||O O O O O O O O O O O O O O O O O O O O
he said caps and floors would be well bid after the round of interest rate cuts due to the fact these rates should stay low at the short end .|||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
the size of the bundesbank 's repo rate cut , to 3.00 percent from 3.30 percent , took markets by surprise .|||O O O O B-ORG O O O O O O O O O O O O O O O O O
" volatility has a bid to it -- longer-dated volatility more than short-dated because the event people were buying for has passed and now perhaps people will sell some short dated vol and buy some long dated vol , " he said .|||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
" long dated volatility has been low this year , so it is still at levels which are not historically high .|||O O O O O O O O O O O O O O O O O O O O O O
" it is not a dangerous level to own vol. you are not going to lose a lot and you could make quite a bit . "|||O O O O O O O O O O O O O O O O O O O O O O O O O O O
he said volatility levels should be stable until markets reassess the situation after a long weekend in britain .|||O O O O O O O O O O O O O O O O O B-LOC O
paribas capital markets otc options specialist robert coughlan said that if volatility continued lower for the rest of friday in over-the-counter 10-year bunds , it should be higher next tuesday .|||B-ORG I-ORG I-ORG I-ORG O O B-PER I-PER O O O O O O O O O O O O O O B-MISC O O O O O O O O
he said the absence on holiday of many market makers was a main factor behind falls this week in volatility in high-yielding markets such as italy , spain and sweden .|||O O O O O O O O O O O O O O O O O O O O O O O O O B-LOC O B-LOC O B-LOC O
coughlan said the market had more downside than upside potential , but a fall was not likely to be of significant size .|||B-PER O O O O O O O O O O O O O O O O O O O O O O
" i recommend people sell strangles in a number of markets -- in germany and france in particular .|||O O O O O O O O O O O O O B-LOC O B-LOC O O O
" with high-yielding markets italy will be a lot more vulnerable in september on economic and political fronts , so i would use current the low level of vol to buy options .|||O O O O B-LOC O O O O O O O O O O O O O O O O O O O O O O O O O O O O
" so sell options on bunds and france to enhance yield and buy options on italy , " coughlan said ..|||O O O O O B-MISC O B-LOC O O O O O O O B-LOC O O B-PER O O
-- stephen nisbet , international bonds +44 171 542 6320|||O B-PER I-PER O B-ORG I-ORG O O O O
goldman sachs sets warrants on continental .|||B-ORG I-ORG O O O B-ORG O
london 1996-08-23|||B-LOC O
goldman sachs & co wertpapier gmbh has issued a total of five million american-style call warrants , on continental ag , lead manager goldman sachs & co said .|||B-ORG I-ORG I-ORG I-ORG I-ORG I-ORG O O O O O O O B-MISC O O O O B-ORG I-ORG O O O B-ORG I-ORG I-ORG I-ORG O O
one warrant controls one share .|||O O O O O O
strike price 25.00 dem premium 10.12 pct|||O O O B-MISC O O O
issue price 2.42 dem gearing 10.29 x|||O O O B-MISC O O O
exercise period 02.sep.96-21.nov.97 paydate 30.aug.96|||O O O O O
listing ddf fft stg min exer lot 100|||O O O O O O O O
spot reference 24.90 dem|||O O O B-MISC
-- reuter london newsroom +44 171 542 7658|||O B-ORG I-ORG I-ORG O O O O
legal challenge to diana delayed by jail term .|||O O O B-PER O O O O O
london 1996-08-23|||B-LOC O
a british photographer branded a stalker by princess diana has been forced to postpone a legal challenge to a ban on approaching her because he 's been jailed for criminal damage , his lawyer said on friday .|||O B-MISC O O O O O O B-PER O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
martin stenning started a 12-week jail sentence on thursday just as he was preparing to contest an injunction obtained by diana banning him from coming within 300 metres ( yards ) of her .|||B-PER I-PER O O O O O O O O O O O O O O O O O O B-PER O O O O O O O O O O O O O
" we were in the process of preparing a detailed affidavit responding to the princess 's affadavit and expected to go to court in the next couple of weeks , " said stenning 's lawyer , benedict birnberg . "|||O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-PER O O O B-PER I-PER O O
but everything has been put on ice now . "|||O O O O O O O O O O
birnberg told reuters that the challenge to the injunction would be delayed until stenning was released .|||B-PER O B-ORG O O O O O O O O O O B-PER O O O
stenning threw a brick through the window of a van in february after an argument with a driver when he was working as a motorcycle dispatch rider .|||B-PER O O O O O O O O O O O O O O O O O O O O O O O O O O O
stenning , who has previous convictions , is expected to appeal against the sentence .|||B-PER O O O O O O O O O O O O O O
magistrates also ordered him to pay compensation of 182 pounds ( $ 282 ) .|||O O O O O O O O O O O O O O O
the freelance photographer was branded a stalker by diana , whose divorce from heir-to-the-throne prince charles is due to become final next week , after persistently trailing her on his motorcycle .|||O O O O O O O O B-PER O O O O O O B-PER O O O O O O O O O O O O O O O O
in an affidavit , the princess said that in chasing her stenning had got so close that he twice smashed into her car and pushed her when she tried to remove the film from his camera .|||O O O O O O O O O O O B-PER O O O O O O O O O O O O O O O O O O O O O O O O O
stenning has rejected diana 's claims and said he was being made a scapegoat to scare off press photographers .|||B-PER O O B-PER O O O O O O O O O O O O O O O O
jordan expels iraqi diplomat .|||B-LOC O B-MISC O O
amman 1996-08-23|||B-LOC O
jordan has asked an iraqi diplomat to leave the kingdom for carrying out duties incompatible with diplomatic norms , an official source said on friday .|||B-LOC O O O B-MISC O O O O O O O O O O O O O O O O O O O O O
the move came after amman blamed iraq and a pro-baghdad local political party for last week 's worst unrest in seven years after a government decision to double prices of bread .|||O O O O B-LOC O B-LOC O O B-MISC O O O O O O O O O O O O O O O O O O O O O O
the government declined comment .|||O O O O O
" jordan has asked mr. adel ibrahim , the iraqi embassy 's press attache , to leave because he was carrying out duties incompatible with diplomatic norms , " the source told reuters .|||O B-LOC O O O B-PER I-PER O O B-MISC O O O O O O O O O O O O O O O O O O O O O O B-ORG O
he said ibrahim was still in amman .|||O O B-PER O O O B-LOC O
the jordanian arab socialist baath party has denied involvement in unrest which it blamed on government policies and rising economic hardship .|||O B-ORG I-ORG I-ORG I-ORG I-ORG O O O O O O O O O O O O O O O O
the riots , which shook jordan for two days , broke out after last friday 's main prayers in the southern town of karak and spread to amman .|||O O O O O B-LOC O O O O O O O O O O O O O O O O O B-LOC O O O B-LOC O
kurd rebels to free turkish soldier prisoners .|||B-MISC O O O B-MISC O O O
dohuk , iraq 1996-08-23|||B-LOC O B-LOC O
turkish kurd guerrillas said on friday they would free seven turkish soldiers they hold in northern iraq under a tentative islamist peace bid .|||B-MISC I-MISC O O O O O O O O B-MISC O O O O O B-LOC O O O B-MISC O O O
" ...for the sake of safety we are asking for their family members or the authorities to come and pick them up , " kurdistan workers party ( pkk ) central committee member riza altun told journalists near the iraqi city of dohuk .|||O O O O O O O O O O O O O O O O O O O O O O O O B-ORG I-ORG I-ORG O B-ORG O O O O B-PER I-PER O O O O B-MISC O O B-LOC O
pkk guerrillas would accompany the soldiers , captured last spring in one of turkey 's frequent cross-border drives , until they could be handed over , he said .|||B-ORG O O O O O O O O O O O O B-LOC O O O O O O O O O O O O O O O
their release has been negotiated by islamist writer ismail nacar as part of a wider effort , partly backed by prime minister necmettin erbakan , to find a political solution to turkey 's kurdish problem .|||O O O O O O B-MISC O B-PER I-PER O O O O O O O O O O O O B-PER I-PER O O O O O O O B-LOC O B-MISC O O
erbakan has encouraged nacar 's bid but has ruled out direct talks with the rebels .|||B-PER O O B-PER O O O O O O O O O O O O
the pkk often uses bases in northern iraq in its fight for autonomy or independence in southeast turkey .|||O B-ORG O O O O O B-LOC O O O O O O O O O B-LOC O
more than 20,000 people have died in 12 years of fighting between the guerrillas and turkish forces .|||O O O O O O O O O O O O O O O B-MISC O O
solidere shares mixed on market .|||B-ORG O O O O O
beirut 1996-08-23|||B-LOC O
solidere shares were mixed on friday on the privately-operated beirut secondary market ( bsm ) .|||B-ORG O O O O O O O O B-ORG I-ORG I-ORG O B-ORG O O
a shares -- distributed to former holders of property rights in the beirut central district solidere is rebuilding -- closed at $ 104.625 unchanged from thursday .|||O O O O O O O O O O O O B-LOC O O B-ORG O O O O O O O O O O O
b shares -- issued in a $ 650-million subscription in january 1994 -- rose to $ 106.5 from $ 106.375 a day earlier .|||O O O O O O O O O O O O O O O O O O O O O O O O
turnover on bsm , which trades only solidere shares , was 8,049 shares from thursday 's 8,757 and value was $ 850,968 from $ 918,288 .|||O O B-ORG O O O O B-ORG O O O O O O O O O O O O O O O O O O
on the official beirut stock exchange , only 1,185 ciments libanais shares were traded at $ 1.1875 compared with 2,036 shares traded on thursday at the same price .|||O O O B-ORG I-ORG I-ORG O O O B-ORG I-ORG O O O O O O O O O O O O O O O O O O
there was no trade in any of the three other listed companies : ciments blancs , eternit and uniceramic .|||O O O O O O O O O O O O O B-ORG I-ORG O B-ORG O B-ORG O
the blom stock index which covers both markets rose 0.04 percent to 903.09 and the lispi index rose 0.02 percent to 81.58 .|||O B-MISC I-MISC I-MISC O O O O O O O O O O O B-MISC O O O O O O O
